Date	Count
2022-11-04	1002
2022-11-05	504
2022-11-06	421
2022-11-07	676
2022-11-08	738
2022-11-09	1135
2022-11-10	696
2022-11-11	838
2022-11-12	371
2022-11-13	304
2022-11-14	648
2022-11-15	839
2022-11-16	767
2022-11-17	758
2022-11-18	691
2022-11-19	344
2022-11-20	327
2022-11-21	636
2022-11-22	636
2022-11-23	632
2022-11-24	498
2022-11-25	350
2022-11-26	199
2022-11-27	288
2022-11-28	526
2022-11-29	599
2022-11-30	645
2022-12-01	563
2022-12-02	458
2022-12-03	309
2022-12-04	327
2022-12-05	533
2022-12-06	671
2022-12-07	834
2022-12-08	671
2022-12-09	642
2022-12-10	367
2022-12-11	290
2022-12-12	643
2022-12-13	616
2022-12-14	591
2022-12-15	414
